,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
65,0.0,Aston Villa,0.08,4.9,EPL,2021-01-01,0.0,0.2844776952158850,0.001855072463768120
66,0.0,Pistons,0.08,4.0,NBA,2021-01-01,1.0,0.2844776952158850,0.001855072463768120
67,1.0,Hornets,0.26,1.96,NBA,2021-01-01,0.0,3.004795655717780,0.019594202898550700
68,2.0,Mavericks,0.49,1.57,NBA,2021-01-01,1.0,10.672358534583400,0.06959420289855070
69,3.0,Hawks,0.15,3.0,NBA,2021-01-01,1.0,1.0001168972433400,0.006521739130434780
70,4.0,Bucks,0.82,1.86,NBA,2021-01-01,1.0,29.887937853618900,0.19489855072463800
71,5.0,Spurs,0.21,3.2,NBA,2021-01-01,0.0,1.960229118596960,0.012782608695652200
72,6.0,Wizards,0.35,9.1,NBA,2021-01-01,1.0,5.445080884991540,0.03550724637681160
73,7.0,Clippers,0.22,2.4,NBA,2021-01-01,0.0,2.1513625700701300,0.014028985507246400
74,8.0,Nuggets,0.56,2.42,NBA,2021-01-01,0.0,13.93940706557840,0.0908985507246377
75,9.0,Warriors,0.23,2.34,NBA,2021-01-01,0.0,2.3513859495188000,0.015333333333333300
68,0.0,Hull City,0.3,2.15,ELO,2021-01-02,1.0,3.1683237033953500,0.0152027027027027
69,1.0,Gillingham,0.23,3.6,ELO,2021-01-02,0.0,1.8622702656623800,0.008935810810810810
70,2.0,Sunderland,0.43,1.61,ELO,2021-01-02,0.0,6.509145030642230,0.031233108108108100
71,3.0,Wigan,0.21,3.4,ELO,2021-01-02,0.0,1.5524786146637200,0.007449324324324320
72,4.0,Bristol Rovers,0.14,3.8,ELO,2021-01-02,1.0,0.6899904954061000,0.0033108108108108100
73,5.0,Wimbledon,0.1,4.6,ELO,2021-01-02,0.0,0.35203596704392800,0.0016891891891891900
74,6.0,Burton Albion,0.09,3.5,ELO,2021-01-02,0.0,0.2851491333055820,0.001368243243243240
75,0.0,Tottenham,0.4,1.71,EPL,2021-01-02,1.0,5.632575472702850,0.027027027027027000
76,1.0,Brighton,0.2,2.6,EPL,2021-01-02,0.0,1.4081438681757100,0.006756756756756760
77,2.0,West Brom,0.03,5.9,EPL,2021-01-02,0.0,0.03168323703395360,0.00015202702702702700
78,0.0,Werder Bremen,0.13,3.0,GPL,2021-01-02,0.0,0.5949407843042390,0.00285472972972973
79,1.0,Arminia,0.09,6.0,GPL,2021-01-02,0.0,0.2851491333055820,0.001368243243243240
80,2.0,Draw Arminia v Gladbach,0.07,4.2,GPL,2021-01-02,0.0,0.1724976238515250,0.0008277027027027030
81,3.0,1. FC Köln,0.22,2.25,GPL,2021-01-02,0.0,1.7038540804926100,0.008175675675675680
82,4.0,Hoffenheim,0.28,2.1,GPL,2021-01-02,0.0,2.7599619816244000,0.013243243243243200
83,0.0,Rockets,0.54,1.45,NBA,2021-01-02,1.0,10.265368799001000,0.04925675675675680
84,1.0,76ers,0.76,1.21,NBA,2021-01-02,1.0,20.333597456457300,0.09756756756756760
85,2.0,Pacers,0.63,1.34,NBA,2021-01-02,0.0,13.972307531973500,0.06704391891891890
86,3.0,Thunder,0.15,3.4,NBA,2021-01-02,1.0,0.7920809258488390,0.003800675675675680
